Player_ID,SHIRT_N,PLAYER_NAME,AGE,HEIGHT,FOOT,Country,SQUAD,SQUAD_RANKING,OPPONENT,OPPONENT RANKING,M_WEEKDAY,M_MONTH,M_SEASON,YEAR,COMPETITION_N,ROUND_N,VENUE_N,STARTER,STRIKER,Penalty,Penalty_shooter,MINUTES,GOALS
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Austria,31,7,6,2,2016,3,1,3,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Hungary,26,4,6,2,2016,3,1,3,1,1,0,1,90,2
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Croatia,14,7,6,2,2016,3,2,3,1,1,0,1,120,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,Poland,15,5,6,2,2016,3,3,3,1,1,0,1,120,0
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8, Wales,12,4,7,2,2016,3,4,3,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,31,187,1,pt,Portugal,8,France,7,1,7,2,2016,3,5,1,1,1,0,1,24,0
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,8,Andorra,203,6,10,3,2016,2,1,1,1,1,0,1,90,4
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,8,Faroe Islands,83,2,10,3,2016,2,1,2,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,8,Latvia,111,1,11,3,2016,2,1,1,1,0,1,1,90,2
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,3,Hungary,53,7,3,1,2017,2,1,1,1,1,0,1,90,2
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,3,Sweden,18,3,3,1,2017,1,0,1,1,1,0,1,57,1
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,3,Latvia,132,6,6,2,2017,2,1,2,1,1,0,1,90,2
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,3,Mexico,16,1,6,2,2017,0,1,3,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,3,Russia,64,4,6,2,2017,0,1,3,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,3,New Zealand,121,7,6,2,2017,0,1,3,1,1,1,1,66,1
PT-7,7,Cristiano Ronaldo,32,187,1,pt,Portugal,3,Chile,10,4,6,2,2017,0,4,3,1,1,0,1,120,0
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,3,Faroe Islands,95,5,8,2,2017,2,1,1,1,1,1,1,90,3
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,3,Hungary,53,1,9,3,2017,2,1,2,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,3,Andorra,138,7,10,3,2017,2,1,2,0,0,0,1,45,1
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,3,Switzerland,8,3,10,3,2017,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,6,Egypt,56,6,3,1,2018,1,0,1,1,1,0,1,90,2
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,6,Netherlands,14,2,3,1,2018,1,0,1,1,1,0,1,67,0
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,6,Algeria,67,5,6,2,2018,1,0,1,1,1,0,1,73,0
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,6,Spain,9,6,6,2,2018,4,1,3,1,1,1,1,90,3
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,6,Morocco,40,4,6,2,2018,4,1,3,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,6,IR Iran,29,2,6,2,2018,4,1,3,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,33,187,1,pt,Portugal,6,Uruguay,7,7,6,2,2018,4,2,3,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,34,187,1,pt,Portugal,7,Ukraine,24,6,3,1,2019,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,34,187,1,pt,Portugal,7,Serbia,29,2,3,1,2019,2,1,1,1,1,0,1,29,0
PT-7,7,Cristiano Ronaldo,34,187,1,pt,Portugal,7,Switzerland,12,4,6,2,2019,2,4,3,1,1,0,1,90,3
PT-7,7,Cristiano Ronaldo,34,187,1,pt,Portugal,7,Netherlands,14,1,6,2,2019,2,5,3,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,35,187,1,pt,Portugal,7,Serbia,29,7,9,3,2019,2,1,2,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,35,187,1,pt,Portugal,7,Lithuania,131,3,9,3,2019,2,1,2,1,1,1,1,78,4
PT-7,7,Cristiano Ronaldo,35,187,1,pt,Portugal,7,Luxembourg,98,6,10,3,2019,2,1,1,1,1,0,1,90,1
PT-7,7,Cristiano Ronaldo,35,187,1,pt,Portugal,7,Ukraine,24,2,10,3,2019,2,1,2,1,1,1,1,90,1
PT-7,7,Cristiano Ronaldo,35,187,1,pt,Portugal,7,Lithuania,131,5,11,3,2019,2,1,1,1,0,1,1,82,3
PT-7,7,Cristiano Ronaldo,35,187,1,pt,Portugal,7,Luxembourg,98,1,11,3,2019,2,1,2,1,0,0,1,90,1
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,5,Sweden,20,3,9,3,2020,2,1,2,1,1,0,1,80,2
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,5,Spain,6,4,10,3,2020,1,0,1,1,1,0,1,72,0
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,5,France,2,1,10,3,2020,2,1,2,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,5,Andorra,151,4,11,3,2020,1,0,1,0,0,0,1,45,1
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,5,France,2,7,11,3,2020,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,5,Croatia,11,3,11,3,2020,2,1,2,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Azerbaijan,120,4,3,1,2021,2,1,1,1,1,0,1,90,0
PT-7,7,Cristiano Ronaldo,36,187,1,pt,Portugal,8,Serbia,23,7,3,1,2021,2,1,2,1,1,0,1,90,0
