DOB,Height,Name,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/17/2012,Sun,UEFA Euro,Group stage,Home,W 2–1,pt Portugal,nl Netherlands,Y*,,90,2,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/21/2012,Thu,UEFA Euro,Quarter-finals,Away,W 1–0,pt Portugal,cz Czechia,Y*,,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/27/2012,Wed,UEFA Euro,Semi-finals,Home,D 0 (2)–0 (4),pt Portugal,es Spain,Y*,,120,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/7/2012,Fri,WCQ,First round,Away,W 2–1,pt Portugal,lu Luxembourg,Y*,,90,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/11/2012,Tue,WCQ,First round,Home,W 3–0,pt Portugal,az Azerbaijan,Y*,,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/12/2012,Fri,WCQ,First round,Away,L 0–1,pt Portugal,ru Russia,Y*,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,10/16/2012,Tue,WCQ,First round,Home,D 1–1,pt Portugal,nir Northern Ireland,Y*,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,3/22/2013,Fri,WCQ,First round,Away,D 3–3,pt Portugal,il Israel,Y*,,90,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,6/7/2013,Fri,WCQ,First round,Home,W 1–0,pt Portugal,ru Russia,Y*,,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
5-Feb-85,187,Cristiano Ronaldo,9/6/2013,Fri,WCQ,First round,Away,W 4–2,pt Portugal,nir Northern Ireland,Y*,,89,3,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
